alias_id,steamid64,source_id,player_name,observed_at
339,76561199064556850,4,(1)MYG)T,2020-06-11T09:51:09Z
340,76561199064561196,4,irc.myg0t.gg:6667#myg0t,2020-09-13T07:56:52Z
341,76561199064576536,4,[g0tb0t]CatholicGod,2020-06-15T06:59:27Z
342,76561199064594592,4,(2)MYG)T,2020-06-07T07:56:58Z
343,76561199064622065,4,[g0tb0t]Church-of-myg0t,2020-06-11T03:10:35Z
344,76561199064630127,4,Exploder Without Rocket,2021-03-06T05:50:05Z
345,76561199064707730,4,cum,2020-06-08T23:52:51Z
346,76561199064808364,4,MYG)T,2020-06-21T06:19:09Z
347,76561199064866015,4,MYG)T,2020-06-08T23:29:23Z
348,76561199064876799,4,MYG)T,2020-06-17T21:11:00Z
349,76561199064897713,4,"(1)









www.myg0t.gg",2020-07-03T18:16:43Z
350,76561199065010573,4,"









www.myg0t.gg",2020-07-02T04:57:07Z
351,76561199065026281,4,The Gang,2021-01-21T05:57:29Z
352,76561199065030558,4,"(1)









www.myg0t.gg",2020-07-03T18:13:56Z
353,76561199065041067,4,MYG)T,2020-06-15T07:27:33Z
354,76561199065099058,4,irc.myg0t.gg:6667,2020-07-11T01:05:02Z
355,76561199065147478,4,MR MEDIC!,2020-09-13T06:34:27Z
356,76561199065152971,4,irc.myg0t.gg:6667,2020-07-11T01:13:12Z
357,76561199065170294,4,(1)creators.tf,2020-07-13T22:26:18Z
358,76561199065185730,4,cum,2020-06-24T02:56:42Z
359,76561199065189167,4,royalhack.net B0T,2020-06-17T17:05:15Z
360,76561199065197145,4,/id/h20verdrive,2020-07-04T20:58:45Z
361,76561199065204483,4,cum,2020-06-24T03:00:27Z
362,76561199065210457,4,royalhack.net B0T,2020-08-04T03:43:11Z
363,76561199065231690,4,cum,2020-06-24T18:12:18Z
364,76561199065233302,4,(1)MYG)T,2020-06-20T05:37:58Z
365,76561199065250172,4,royalhack.net B0T,2020-08-13T05:34:26Z
366,76561199065255880,4,[t0gym]OGBADGER,2020-06-13T06:13:34Z
367,76561199065304620,4,royalhack.net B0T,2020-06-20T05:41:43Z
368,76561199065320168,4,royalhack.net B0T,2020-06-24T03:22:43Z
369,76561199065337637,4,[VAC] OneTrick,2020-06-11T01:13:35Z
370,76561199065345852,4,[www.myg0t.gg]OGBADGER,2020-07-03T18:16:43Z
371,76561199065361324,4,royalhack.net B0T,2020-07-20T07:43:35Z
372,76561199065394772,4,royalhack.net B0T,2020-06-14T08:18:51Z
373,76561199065410198,4,royalhack.net B0T,2020-06-20T05:33:49Z
374,76561199065499125,4,[VAC] OneTrick,2020-06-11T04:34:37Z
375,76561199065522395,4,royalhack.net B0T,2020-06-18T02:44:02Z
376,76561199065525789,4,[VAC] OneTrick,2020-06-11T09:39:40Z
377,76561199065553051,4,royalhack.net B0T,2020-06-15T04:22:38Z
378,76561199065787964,4,[VALVE] Twilight Sparkle,2020-06-15T03:47:20Z
379,76561199065794223,4,(4)scunt gaming,2020-06-14T09:04:44Z
380,76561199065870784,4,[VALVE] Twilight Sparkle,2020-06-17T21:10:41Z
381,76561199065880685,4,[VALVE] Twilight Sparkle,2020-06-17T17:00:49Z
382,76561199065905418,4,MYG)T,2020-06-13T06:58:44Z
383,76561199065932283,4,(1)MYG)T,2020-06-16T06:09:28Z
384,76561199065944524,4,MYG)T,2020-06-21T00:24:04Z
385,76561199065961339,4,[VALVE] Twilight Sparkle,2020-06-17T16:56:04Z
